analysis_id,qb2582bmoi97bmx
mouse_life_stage,Early adult
gene_accession_id,MGI:2385156
mouse_strain,C57BL
pvalue,0.8521273
parameter_name,Snout size
gene_symbol,Sdcbp2
parameter_id,IMPC_CSD_028_001
