parameter_name,Percentage center time
analysis_id,d90bg9a7hwc92q5
mouse_life_stage,E15.5
gene_accession_id,MGI:88174
gene_symbol,Bmi1
parameter_id,IMPC_OFD_022_001
mouse_strain,C57BL
pvalue,0.06561146
