parameter_id,HMGULA_HWT_008_001
gene_accession_id,MGI:95457
mouse_life_stage,E15.5
pvalue,0.5533122
analysis_id,34e2q0h1ou0v0x3
mouse_strain,C57BL
gene_symbol,Mecom
parameter_name,Heart weight
