analysis_id,sf9y48ql8g3aa03
mouse_strain,C57BL
pvalue,0.1600464
parameter_id,IMPC_IMM_064_001
mouse_life_stage,Early adult
parameter_name,B1B Cells
gene_accession_id,MGI:96757
gene_symbol,Lcn2
