analysis_id,4iw20g64492loa4
pvalue,0.6577183
mouse_life_stage,Early adult
gene_accession_id,MGI:1332236
gene_symbol,Cds2
mouse_strain,C59BL
parameter_name,Pale yolk sac
parameter_id,IMPC_GEL_017_002
