analysis_id,d1892nbwdki8ms8
gene_accession_id,MGI:1913483
pvalue,0.1454011
parameter_id,HMGULA_CBC_015_001
parameter_name,Total cholesterol
mouse_life_stage,E12.5
gene_symbol,Dmap1
mouse_strain,C57BL
