gene_symbol,Ddx27
mouse_strain,C57BL
parameter_name,Placenta Size
pvalue,0.3784059
mouse_life_stage,Early adult
analysis_id,888hk7x4a9va30o
gene_accession_id,MGI:2385884
parameter_id,IMPC_GPP_004_001
