gene_symbol,Ppm1j
parameter_id,IMPC_HEM_027_001
mouse_life_stage,Early adult
parameter_name,Red blood cell distribution width
analysis_id,89d5c5q2yf6sqou
pvalue,0.7729242
mouse_strain,C57BL
gene_accession_id,MGI:1919137
