analysis_id,q0453c00a6x6458
gene_accession_id,MGI:1918345
gene_symbol,Kif24
parameter_name,Sodium
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_001_001
pvalue,0.747853
