gene_symbol,Rgs20
parameter_name,Dark side time spent
analysis_id,vcc73063jx17t1e
mouse_strain,C57BL
pvalue,0.243388
parameter_id,JAX_LDT_004_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1929866
