analysis_id,01692941b0k7r6h
pvalue,0.1676843
gene_symbol,Zcchc2
gene_accession_id,MGI:2444114
parameter_name,Latency to first transition into dark
parameter_id,IMPC_LDT_006_001
mouse_strain,C57BL
mouse_life_stage,Early adult
