analysis_id,i7418sb8kq35142
parameter_name,CD8+ alpha beta T cell percentage
pvalue,0.5275991
gene_symbol,Ift74
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1914944
parameter_id,MGP_PBI_004_001
