analysis_id,48q9379e553iy57
gene_symbol,Tiprl
mouse_life_stage,Early adult
parameter_name,Periphery permanence time
mouse_strain,C57BL
gene_accession_id,MGI:1915087
parameter_id,JAX_OFD_012_001
pvalue,0.8645195
