analysis_id,169v96v40rb1dv8
gene_symbol,Trdmt1
mouse_life_stage,Early adult
pvalue,0.7529477
mouse_strain,C57BL
parameter_id,ESLIM_007_001_007
gene_accession_id,MGI:1274787
parameter_name,Periphery resting time
