parameter_name,Alkaline phosphatase
mouse_life_stage,Early adult
pvalue,7.706979e-06
mouse_strain,C57BL
analysis_id,18c8fb52v2008t3
gene_symbol,Tox
gene_accession_id,MGI:2181659
parameter_id,IMPC_CBC_014_001
