analysis_id,x036s6qf6u64338
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_024_001
pvalue,0.2697737
gene_symbol,Atg4c
gene_accession_id,MGI:2651854
parameter_name,UIBC (unsaturated iron binding capacity)
