analysis_id,19flcpo42d6j0qr
gene_accession_id,MGI:1927232
parameter_id,M-G-P_016_001_006
mouse_life_stage,Early adult
parameter_name,Mean-corpuscular-haemoglobin
gene_symbol,Rab13
pvalue,0.6783877
mouse_strain,C57BL
