analysis_id,g24ik58jjztw409
mouse_strain,C57BL
gene_symbol,Col6a3
parameter_name,Contact righting
pvalue,1.383082
parameter_id,JAXLA_CSD_077_001
mouse_life_stage,Early adult
gene_accession_id,MGI:88461
