parameter_name,Others
gene_symbol,Secisbp2l
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
parameter_id,IMPC_IMM_006_001
gene_accession_id,MGI:1917604
pvalue,0.40913
analysis_id,099ij39774s80op
