analysis_id,x2h4o049tq18o52
gene_accession_id,MGI:1924054
parameter_name,Red blood cell count
gene_symbol,Kdm4c
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.6218294
parameter_id,IMPC_HEM_002_001
