parameter_name,Zygomatic bone
parameter_id,IMPC_XRY_002_001
gene_symbol,Pum1
analysis_id,p7uc1se5ahifltl
mouse_strain,C57BL
pvalue,0.7470034
mouse_life_stage,Early adult
gene_accession_id,MGI:1931749
