parameter_id,JAXLA_HBD_001_001
parameter_name,Total holepokes
mouse_life_stage,Early adult
pvalue,0.4361356
analysis_id,1071c1313lk4jj3
gene_symbol,Kdm4c
mouse_strain,C57BL
gene_accession_id,MGI:1924054
