gene_symbol,Trdmt1
pvalue,0.5253163
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,i0gqx80a3ym8ugu
parameter_id,M-G-P_016_001_006
parameter_name,Mean-corpuscular-haemoglobin
gene_accession_id,MGI:1274787
