parameter_name,Shape of vertebrae
gene_symbol,Slc30a4
mouse_life_stage,Middle aged adult
parameter_id,IMPC_XRY_018_001
analysis_id,wtbbipz972mn833
pvalue,0.8525179
gene_accession_id,MGI:1345282
mouse_strain,C57BL
