analysis_id,bhpna5v2xfcj538
pvalue,0.1424594
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:2385884
parameter_id,MGP_PBI_001_001
parameter_name,Total T cell percentage
gene_symbol,Ddx27
