analysis_id,2ya213m3x34v35z
gene_accession_id,MGI:88461
gene_symbol,Col6a3
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Distance travelled - total
parameter_id,JAX_OFD_020_001
pvalue,0.3888954
