analysis_id,s6re22ipgduzg42
parameter_name,Heart weight
pvalue,0.4976072
parameter_id,HMGULA_HWT_008_001
gene_accession_id,MGI:105073
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Tnni1
