analysis_id,355h10adla5jn8d
mouse_life_stage,Early adult
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
parameter_id,TCPLA_GRS_011_001
gene_accession_id,MGI:1915678
mouse_strain,C57BL
pvalue,0.6302957
gene_symbol,Steap3
