gene_symbol,Sgip1
gene_accession_id,MGI:1920344
parameter_name,Basophil cell count
pvalue,0.3176714
analysis_id,x5lvrx7k0uc72m5
parameter_id,IMPC_HEM_037_001
mouse_strain,C57BL
mouse_life_stage,Early adult
