analysis_id,862p18xha1z33o6
parameter_id,IMPC_CAL_008_001
mouse_life_stage,E9.5
mouse_strain,C57BL
pvalue,0.1618942
gene_symbol,Slc39a10
parameter_name,Total food intake
gene_accession_id,MGI:1914515
