gene_symbol,Cds2
parameter_id,MGP_IMM_015_001
pvalue,0.2713341
analysis_id,0nx86x554v56w54
parameter_name,Resting CD8+ T cells - % of CD8+
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1332236
