gene_symbol,Sfpq
parameter_id,M-G-P_014_001_009
analysis_id,s7zs26m8w23pz88
pvalue,0.5387807
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,lens
gene_accession_id,MGI:1918764
