analysis_id,09eag63h9s38745
gene_symbol,Ivd
mouse_strain,C57BL
parameter_id,MGP_PBI_031_001
gene_accession_id,MGI:1929242
mouse_life_stage,Early adult
parameter_name,KLRG1+ mature NK cell number
pvalue,0.7531733
