parameter_id,IMPC_CSD_028_001
mouse_life_stage,Early adult
analysis_id,j0r9v60rtbs5gw5
gene_symbol,Ncaph
gene_accession_id,MGI:2444777
parameter_name,Snout size
mouse_strain,C52BL
pvalue,0.2005794
