parameter_name,Hindlimb nail - number
gene_accession_id,MGI:2444777
mouse_strain,C57BL
parameter_id,IMPC_CSD_051_002
pvalue,0.07091821
analysis_id,40vk7a5303y9e7z
mouse_life_stage,Early adult
gene_symbol,Ncaph
