analysis_id,h25142d5zkkt1n7
parameter_id,IMPC_HEM_027_001
gene_accession_id,MGI:1914309
mouse_strain,C57BL
pvalue,0.2942642
parameter_name,Red blood cell distribution width
gene_symbol,Ola1
mouse_life_stage,Early adult
