analysis_id,lks61evvi7n027f
gene_symbol,Bcs1l
parameter_name,CV
pvalue,0.2689592
mouse_strain,C57BL
mouse_life_stage,E12.5
parameter_id,IMPC_ECG_003_001
gene_accession_id,MGI:1914071
