parameter_name,DN CD44+CD62L- NKT cells
gene_symbol,Hpca
gene_accession_id,MGI:1336200
pvalue,0.7295317
mouse_life_stage,Late adult
mouse_strain,C57BL
analysis_id,u5i38111r2898ob
parameter_id,IMPC_IMM_046_001
