analysis_id,a0c0r3l626h6m9x
parameter_name,Basophil cell count
gene_accession_id,MGI:88328
mouse_strain,C57BL
parameter_id,IMPC_HEM_037_001
pvalue,0.8193007
mouse_life_stage,Early adult
gene_symbol,Tnfsf8
