analysis_id,1w89l0fv09i8fjh
gene_symbol,Tiprl
mouse_strain,C57BL
parameter_name,Resting NK cells - % of CD45+
parameter_id,MGP_IMM_100_001
gene_accession_id,MGI:1915087
mouse_life_stage,Early adult
pvalue,0.2263936
