analysis_id,60t3002bm9ea0q6
gene_symbol,Extl1
parameter_id,IMPC_GEL_017_002
mouse_strain,C57BL
pvalue,0.7274712
gene_accession_id,MGI:1888742
mouse_life_stage,Early adult
parameter_name,Pale yolk sac
