gene_symbol,Zcchc2
parameter_id,IMPC_GEP_017_001
analysis_id,58895943mbd493s
gene_accession_id,MGI:2444114
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.2398101
parameter_name,Facial Morphology
