parameter_id,HRWLLA_DXA_007_001
gene_accession_id,MGI:2685053
parameter_name,BMC/Body weight
pvalue,0.428216
analysis_id,w5f42x2o56eecy8
gene_symbol,Ntmt2
mouse_strain,C57BL
mouse_life_stage,Early adult
