gene_symbol,Slx4ip
pvalue,0.781031
mouse_life_stage,Early adult
gene_accession_id,MGI:1921493
mouse_strain,C57BL
parameter_name,Bone Mineral Content
parameter_id,ESLIM_005_001_005
analysis_id,7xu99349t64or7t
