gene_symbol,Fgb
pvalue,0.3755693
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:99501
analysis_id,ew904n90s2bzj5v
parameter_id,IMPC_OFD_021_001
parameter_name,Number of rears - total
