analysis_id,9su2fj5068h3x2r
parameter_id,IMPC_CBC_001_001
gene_symbol,Mms22l
pvalue,0.8977869
mouse_strain,129SV
parameter_name,Sodium
gene_accession_id,MGI:2684980
mouse_life_stage,Early adult
