analysis_id,0wnff1n64f236g1
gene_accession_id,MGI:1914309
pvalue,0.42047
parameter_name,Joints
parameter_id,IMPC_XRY_027_001
gene_symbol,Ola1
mouse_strain,C57BL
mouse_life_stage,Early adult
