gene_symbol,Toporsl
pvalue,0.3751071
mouse_strain,C57BL
parameter_id,MGP_MLN_021_001
gene_accession_id,MGI:1915524
mouse_life_stage,Early adult
analysis_id,b6t06xt0regkogt
parameter_name,KLRG1+ gd T cells - % of gd T cells
