analysis_id,q2m9chs4899r1x8
parameter_name,Coat - color pattern - back
mouse_strain,C57BL
gene_accession_id,MGI:1918345
mouse_life_stage,Early adult
gene_symbol,Kif24
parameter_id,IMPC_CSD_008_001
pvalue,0.2326262
