parameter_name,Limb grasp
pvalue,0.8049888
gene_symbol,Snap23
parameter_id,JAXLA_CSD_039_001
mouse_strain,C57BL
analysis_id,37343nrar19lo3o
mouse_life_stage,Late adult
gene_accession_id,MGI:109356
