analysis_id,i69p26h1v13e6a4
pvalue,0.1921543
gene_symbol,F2
gene_accession_id,MGI:88380
parameter_id,IMPC_GEL_060_001
mouse_strain,C57BL
parameter_name,Neural tube morphology
mouse_life_stage,Early adult
