analysis_id,o337q51d6763x33
gene_symbol,Fgb
pvalue,0.8490525
gene_accession_id,MGI:99501
parameter_id,IMPC_XRY_021_001
mouse_life_stage,E12.5
mouse_strain,C57BL
parameter_name,Humerus
