analysis_id,97a37t79z42rt76
parameter_id,ESLIM_011_001_010
mouse_strain,C57BL
pvalue,0.2164133
gene_accession_id,MGI:1914071
parameter_name,PP4 + pulse startle magnitude
mouse_life_stage,Early adult
gene_symbol,Bcs1l
