gene_symbol,Atf3
mouse_strain,C57BL
gene_accession_id,MGI:109384
parameter_name,Facial Morphology
analysis_id,clq2i9879665857
pvalue,0.05961936
parameter_id,IMPC_GEP_017_001
mouse_life_stage,Early adult
