parameter_name,Startle Response
mouse_strain,C57BL
mouse_life_stage,E18.5
pvalue,0.3706997
gene_symbol,Ola1
gene_accession_id,MGI:1914309
parameter_id,M-G-P_008_001_013
analysis_id,3k18g7y3145lnx5
