parameter_name,Fat/Body weight
mouse_strain,C57BL
gene_symbol,Snap23
mouse_life_stage,Early adult
pvalue,0.2199401
analysis_id,72aqv0r219ko598
parameter_id,JAXLA_DXA_009_001
gene_accession_id,MGI:109356
