gene_symbol,Kifap3
gene_accession_id,MGI:107566
analysis_id,c69cy3c5nf736bi
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Ventral coat/hair presence
pvalue,0.6835505
parameter_id,MGP_CSD_025_001
