analysis_id,n1l1x06rg9xyej6
parameter_id,JAX_OFD_012_001
mouse_life_stage,Early adult
parameter_name,Periphery permanence time
mouse_strain,C57BL
gene_symbol,Mgst2
gene_accession_id,MGI:2448481
pvalue,0.4653628
