analysis_id,n71c53z0i958n9x
parameter_id,IMPC_EYE_008_001
mouse_strain,C57BL
gene_accession_id,MGI:105072
gene_symbol,Rab22a
pvalue,0.8493928
mouse_life_stage,Early adult
parameter_name,Corneal opacity
