analysis_id,fem29691f9eoudq
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_018_001
pvalue,0.9512062
gene_symbol,Inpp1
gene_accession_id,MGI:104848
parameter_name,Glucose
mouse_strain,C57BL
