gene_symbol,Tatdn3
mouse_strain,C57BL
parameter_id,UCD_OWT_003_001
mouse_life_stage,Early adult
analysis_id,2n0pl0b45wgi400
pvalue,0.5413498
gene_accession_id,MGI:1916222
parameter_name,Spleen weight
