gene_symbol,Maco1
analysis_id,x1zg4d0n03e9a7x
mouse_strain,C57BL
parameter_name,KLRG1+ mature NK cell number
parameter_id,MGP_PBI_031_001
pvalue,0.5472394
mouse_life_stage,Early adult
gene_accession_id,MGI:1913396
