parameter_name,Fat/Body weight
gene_accession_id,MGI:1914836
pvalue,0.7470063
gene_symbol,Ubxn11
mouse_life_stage,Early adult
analysis_id,ohh232zb1ku2jr0
parameter_id,IMPC_DXA_009_001
mouse_strain,C57BL
