analysis_id,c9925nxh4065sgv
parameter_name,Body position
mouse_strain,C57BL
parameter_id,ESLIM_008_001_001
gene_symbol,Bcs1l
mouse_life_stage,Early adult
gene_accession_id,MGI:1914071
pvalue,0.5837638
